"","Policy","IdOrig","Dbase","SciName","CommName","MSY","SpeciesCat","SpeciesCatName","BvBmsy","FvFmsy","current_b","current_f","b_mey","f_mey","current_b_mey","current_f_mey"
"133","Historic","ICCAT-BMARLINATL-1956-2010-CHING","RAM","Makaira nigricans","Blue marlin Atlantic",2000,36,"Tunas, bonitos, billfishes",0.55,3.11818181818182,0.55,3.11818181818182,1.36366314233387,0.68060347932121,0.403325412945231,4.5814955593405
"134","Historic","ICCAT-SAILEATL-1956-2010-CHING","RAM","Istiophorus albicans","Sailfish Eastern Atlantic",851,36,"Tunas, bonitos, billfishes",0.26,8.81316098707403,0.26,8.81316098707403,1.35422190413442,0.687963363095586,0.191992168496332,12.8105091925506
"135","Historic","ICCAT-SAILWATL-1956-2010-CHING","RAM","Istiophorus albicans","Sailfish Western Atlantic",850,36,"Tunas, bonitos, billfishes",0.28,6.26050420168067,0.28,6.26050420168067,1.34466078813675,0.695459281760805,0.208230954951833,9.00197087862564
"136","Historic","ICCAT-SKJEATL-1950-2010-CHING","RAM","Katsuwonus pelamis","Skipjack tuna Eastern Atlantic",156500,36,"Tunas, bonitos, billfishes",1.71,0.27,1.71,0.27,1.37084241234191,0.675034548998471,1.24740815180841,0.39997952756728
"137","Historic","ICCAT-SKJWATL-1952-2010-CHING","RAM","Katsuwonus pelamis","Skipjack tuna Western Atlantic",33000,36,"Tunas, bonitos, billfishes",1.67,0.32,1.67,0.32,1.37053033160976,0.675276135811407,1.21850641425681,0.473880214374065
"138","Historic","ICCAT-SWORDMED-1950-2009-CHING","RAM","Xiphias gladius","Swordfish Mediterranean Sea",14600,36,"Tunas, bonitos, billfishes",0.96,0.89,0.96,0.89,1.37019831446438,0.675533204774384,0.700628507469208,1.31747779932926
"139","Historic","ICCAT-SWORDNATL-1950-2010-CHING","RAM","Xiphias gladius","Swordfish North Atlantic",13730,36,"Tunas, bonitos, billfishes",1.02,0.87828284992074,1.02,0.87828284992074,1.37060709872468,0.675216704986551,0.744195766203962,1.3007421816352
"140","Historic","ICCAT-SWORDSATL-1950-2010-CHING","RAM","Xiphias gladius","Swordfish South Atlantic",15000,36,"Tunas, bonitos, billfishes",1.04,0.801282051282051,1.04,0.801282051282051,1.37052262685672,0.675282100752085,0.758834607776763,1.186588612951
"141","Historic","ICCAT-WMARLINATL-1956-2011-CHING","RAM","Tetrapturus albidus","White marlin Atlantic",1239,36,"Tunas, bonitos, billfishes",0.4,0.84,0.4,0.84,1.36604396342816,0.678754053288778,0.292816344648365,1.23756167043119
"142","Historic","ICCAT-YFINATL-1950-2011-CHING","RAM","Thunnus albacares","Yellowfin tuna Atlantic",144600,36,"Tunas, bonitos, billfishes",0.67,1.15,0.67,1.15,1.37059792759982,0.675223804857401,0.488837744832505,1.70313900624826
"143","Historic","IEO-COB-NEPHMEDGSA5-1986-2011-BANOBI","RAM","Nephrops norvegicus","Norway Lobster Balearic Island",29.48587255,43,"Lobsters, spiny-rock lobsters",0.374,2.91,0.374,2.91,1.25474389562727,0.768158131195428,0.298068794200455,3.78828249265732
"144","Historic","IEO-MURCIA-RDSHRMPMEDGSA6-1996-2011-BANOBI","RAM","Aristeus antennatus","Red Shrimp Northern Spain",591.2990916,45,"Shrimps, prawns",1.18,1.06,1.18,1.06,1.29398959028478,0.735923834588787,0.911908417856985,1.4403664485093
"145","Historic","IFOP-AFLONCH-1998-2011-CHING","RAM","Beryx splendens","Alfonsino Chile",1312.061435,34,"Miscellaneous demersal fishes",0.867,0.179,0.867,0.179,1.3679663212574,0.677262671199859,0.633787533016948,0.264299226300009
"146","Historic","IFOP-BSQLOBSTERCH-1979-2012-CHING","RAM","Cervimunida Johni","Blue Squat Lobster Chilean",4845.264024,44,"King crabs, squat-lobsters",1.8,0.243,1.8,0.243,1.37061924940905,0.675207298534645,1.3132750038175,0.359889474724823
"147","Historic","IFOP-BWHITCH-1979-2012-CHING","RAM","Micromesistius poutassou","Blue Whiting Chile",14151.0009,32,"Cods, hakes, haddocks",1.59,0.892,1.59,0.892,1.29318178662239,0.736579267317824,1.22952551330997,1.2110034039488
"148","Historic","IFOP-CHERRCHVX-1960-2012-CHING","RAM","Clupea bentincki","Chilean Herring Chile Region V-X",521878.4145,35,"Herrings, sardines, anchovies",1.92,0.624,1.92,0.624,1.37058485246159,0.675233927105868,1.40086182665134,0.924124181192342
"149","Historic","IFOP-HMACKCH-1970-2011-CHING","RAM","Trachurus trachurus","Horse Mackerel Chile",3476693.997,37,"Miscellaneous pelagic fishes",0.0878,1.71,0.0878,1.71,1.20689376077466,0.808586459009155,0.0727487396601044,2.11480167760346
"150","Historic","IFOP-NSHRIMPCH-1949-2012-CHING","RAM","Heterocarpus reedi","Nylon Shrimp Chile",8035.06647,45,"Shrimps, prawns",0.771,0.726,0.771,0.726,1.23584685612378,0.783972021911048,0.623863706234796,0.926053455619842
"151","Historic","IFOP-PANCHCHVX-1960-2012-CHING","RAM","Engraulis ringens","Peruvian Anchoveta Chile Region V-X",320705.0826,35,"Herrings, sardines, anchovies",0.295,0.929,0.295,0.929,1.29295433268165,0.736763878032004,0.2281596438044,1.26091958047874
