IdOrig,IdOrigLumped,LumpedCatch2012
2523-FAO-37-37,Lumped-Garfish-FaoRegion37,726
3937-FAO-37-37,Lumped-Garfish-FaoRegion37,726
4924-FAO-37-37,Lumped-Garfish-FaoRegion37,726
6277-FAO-37-37,Lumped-Garfish-FaoRegion37,726
11878-FAO-37-37,Lumped-Mediterranean horse mackerel-FaoRegion37,29366
1423-FAO-37-37,Lumped-Mediterranean horse mackerel-FaoRegion37,29366
15384-FAO-37-37,Lumped-Mediterranean horse mackerel-FaoRegion37,29366
15617-FAO-37-37,Lumped-Mediterranean horse mackerel-FaoRegion37,29366
17673-FAO-37-37,Lumped-Mediterranean horse mackerel-FaoRegion37,29366
3240-FAO-37-37,Lumped-Mediterranean horse mackerel-FaoRegion37,29366
4438-FAO-37-37,Lumped-Mediterranean horse mackerel-FaoRegion37,29366
4946-FAO-37-37,Lumped-Mediterranean horse mackerel-FaoRegion37,29366
12019-FAO-37-37,Lumped-Big-scale sand smelt-FaoRegion37,477
1330-FAO-37-37,Lumped-Big-scale sand smelt-FaoRegion37,477
15492-FAO-37-37,Lumped-Big-scale sand smelt-FaoRegion37,477
15818-FAO-37-37,Lumped-Big-scale sand smelt-FaoRegion37,477
12977-FAO-37-37,Lumped-Atlantic horse mackerel-FaoRegion37,6466
13192-FAO-37-37,Lumped-Atlantic horse mackerel-FaoRegion37,6466
14560-FAO-37-37,Lumped-Atlantic horse mackerel-FaoRegion37,6466
15338-FAO-37-37,Lumped-Atlantic horse mackerel-FaoRegion37,6466
4881-FAO-37-37,Lumped-Atlantic horse mackerel-FaoRegion37,6466
6104-FAO-37-37,Lumped-Atlantic horse mackerel-FaoRegion37,6466
9011-FAO-37-37,Lumped-Atlantic horse mackerel-FaoRegion37,6466
13000-FAO-37-37,Lumped-Greater amberjack-FaoRegion37,913
13824-FAO-37-37,Lumped-Greater amberjack-FaoRegion37,913
14568-FAO-37-37,Lumped-Greater amberjack-FaoRegion37,913
15286-FAO-37-37,Lumped-Greater amberjack-FaoRegion37,913
17669-FAO-37-37,Lumped-Greater amberjack-FaoRegion37,913
2526-FAO-37-37,Lumped-Greater amberjack-FaoRegion37,913
2786-FAO-37-37,Lumped-Greater amberjack-FaoRegion37,913
31-FAO-37-37,Lumped-Greater amberjack-FaoRegion37,913
4926-FAO-37-37,Lumped-Greater amberjack-FaoRegion37,913
6136-FAO-37-37,Lumped-Greater amberjack-FaoRegion37,913
6285-FAO-37-37,Lumped-Greater amberjack-FaoRegion37,913
8580-FAO-37-37,Lumped-Greater amberjack-FaoRegion37,913
93-FAO-37-37,Lumped-Greater amberjack-FaoRegion37,913
13193-FAO-37-37,Lumped-Atlantic mackerel-FaoRegion37,6655
1322-FAO-37-37,Lumped-Atlantic mackerel-FaoRegion37,6655
13525-FAO-37-37,Lumped-Atlantic mackerel-FaoRegion37,6655
14561-FAO-37-37,Lumped-Atlantic mackerel-FaoRegion37,6655
15339-FAO-37-37,Lumped-Atlantic mackerel-FaoRegion37,6655
15801-FAO-37-37,Lumped-Atlantic mackerel-FaoRegion37,6655
3787-FAO-37-37,Lumped-Atlantic mackerel-FaoRegion37,6655
4882-FAO-37-37,Lumped-Atlantic mackerel-FaoRegion37,6655
6197-FAO-37-37,Lumped-Atlantic mackerel-FaoRegion37,6655
70-FAO-37-37,Lumped-Atlantic mackerel-FaoRegion37,6655
9012-FAO-37-37,Lumped-Atlantic mackerel-FaoRegion37,6655
13529-FAO-37-37,Lumped-Atlantic pomfret-FaoRegion37,74
3789-FAO-37-37,Lumped-Atlantic pomfret-FaoRegion37,74
13538-FAO-37-37,Lumped-Atlantic saury-FaoRegion37,2072
13698-FAO-37-37,Lumped-Common dolphinfish-FaoRegion37,2218
15266-FAO-37-37,Lumped-Common dolphinfish-FaoRegion37,2218
6223-FAO-37-37,Lumped-Common dolphinfish-FaoRegion37,2218
8553-FAO-37-37,Lumped-Common dolphinfish-FaoRegion37,2218
13760-FAO-37-37,Lumped-European barracuda-FaoRegion37,273
6257-FAO-37-37,Lumped-European barracuda-FaoRegion37,273
13900-FAO-37-37,Lumped-Leerfish-FaoRegion37,488
15297-FAO-37-37,Lumped-Leerfish-FaoRegion37,488
15377-FAO-37-37,Lumped-Leerfish-FaoRegion37,488
39-FAO-37-37,Lumped-Leerfish-FaoRegion37,488
6306-FAO-37-37,Lumped-Leerfish-FaoRegion37,488
6354-FAO-37-37,Lumped-Pilotfish-FaoRegion37,28
10523-FAO-71-37,Lumped-Bigeye scad-FaoRegion71,137202
14964-FAO-71-37,Lumped-Bigeye scad-FaoRegion71,137202
5578-FAO-71-37,Lumped-Bigeye scad-FaoRegion71,137202
10542-FAO-71-37,Lumped-Chub mackerel-FaoRegion71,1393
10545-FAO-71-37,Lumped-Cobia-FaoRegion71,3436
8378-FAO-71-37,Lumped-Cobia-FaoRegion71,3436
10546-FAO-71-37,Lumped-Common dolphinfish-FaoRegion71,5111
5118-FAO-71-37,Lumped-Common dolphinfish-FaoRegion71,5111
5605-FAO-71-37,Lumped-Common dolphinfish-FaoRegion71,5111
6618-FAO-71-37,Lumped-Common dolphinfish-FaoRegion71,5111
9838-FAO-71-37,Lumped-Common dolphinfish-FaoRegion71,5111
10551-FAO-71-37,Lumped-False trevally-FaoRegion71,21121
15001-FAO-71-37,Lumped-False trevally-FaoRegion71,21121
5621-FAO-71-37,Lumped-False trevally-FaoRegion71,21121
8394-FAO-71-37,Lumped-False trevally-FaoRegion71,21121
10564-FAO-71-37,Lumped-Indian mackerel-FaoRegion71,152688
15019-FAO-71-37,Lumped-Indian mackerel-FaoRegion71,152688
3702-FAO-71-37,Lumped-Indian mackerel-FaoRegion71,152688
5667-FAO-71-37,Lumped-Indian mackerel-FaoRegion71,152688
10589-FAO-71-37,Lumped-Rainbow runner-FaoRegion71,14368
5126-FAO-71-37,Lumped-Rainbow runner-FaoRegion71,14368
5716-FAO-71-37,Lumped-Rainbow runner-FaoRegion71,14368
8461-FAO-71-37,Lumped-Rainbow runner-FaoRegion71,14368
9305-FAO-71-37,Lumped-Rainbow runner-FaoRegion71,14368
10603-FAO-71-37,Lumped-Short mackerel-FaoRegion71,215949
5738-FAO-71-37,Lumped-Short mackerel-FaoRegion71,215949
10632-FAO-71-37,Lumped-Torpedo scad-FaoRegion71,50243
15095-FAO-71-37,Lumped-Torpedo scad-FaoRegion71,50243
5776-FAO-71-37,Lumped-Torpedo scad-FaoRegion71,50243
8501-FAO-71-37,Lumped-Torpedo scad-FaoRegion71,50243
14974-FAO-71-37,Lumped-Black pomfret-FaoRegion71,44418
5586-FAO-71-37,Lumped-Black pomfret-FaoRegion71,44418
8364-FAO-71-37,Lumped-Black pomfret-FaoRegion71,44418
14976-FAO-71-37,Lumped-Blackbanded trevally-FaoRegion71,1747
15023-FAO-71-37,Lumped-Indian scad-FaoRegion71,99213
8415-FAO-71-37,Lumped-Indian scad-FaoRegion71,99213
15075-FAO-71-37,Lumped-Silver pomfret-FaoRegion71,25104
5741-FAO-71-37,Lumped-Silver pomfret-FaoRegion71,25104
8479-FAO-71-37,Lumped-Silver pomfret-FaoRegion71,25104
5590-FAO-71-37,Lumped-Blue mackerel-FaoRegion71,314
5641-FAO-71-37,Lumped-Great barracuda-FaoRegion71,4746
5710-FAO-71-37,Lumped-Pickhandle barracuda-FaoRegion71,1581
5789-FAO-71-37,Lumped-Yellowstripe scad-FaoRegion71,131814
8516-FAO-71-37,Lumped-Yellowstripe scad-FaoRegion71,131814
134-FAO-77-37,Lumped-Common dolphinfish-FaoRegion77,6691
16856-FAO-77-37,Lumped-Common dolphinfish-FaoRegion77,6691
2438-FAO-77-37,Lumped-Common dolphinfish-FaoRegion77,6691
4265-FAO-77-37,Lumped-Common dolphinfish-FaoRegion77,6691
5144-FAO-77-37,Lumped-Common dolphinfish-FaoRegion77,6691
6613-FAO-77-37,Lumped-Common dolphinfish-FaoRegion77,6691
8852-FAO-77-37,Lumped-Common dolphinfish-FaoRegion77,6691
9724-FAO-77-37,Lumped-Common dolphinfish-FaoRegion77,6691
16096-FAO-77-37,Lumped-Pacific jack mackerel-FaoRegion77,337
17061-FAO-77-37,Lumped-Pacific jack mackerel-FaoRegion77,337
8926-FAO-77-37,Lumped-Pacific jack mackerel-FaoRegion77,337
16767-FAO-77-37,Lumped-Bigeye scad-FaoRegion77,216
8821-FAO-77-37,Lumped-Bigeye scad-FaoRegion77,216
17045-FAO-77-37,Lumped-Opah-FaoRegion77,877
4276-FAO-77-37,Lumped-Opah-FaoRegion77,877
17096-FAO-77-37,Lumped-Rainbow runner-FaoRegion77,1
17301-FAO-77-37,Lumped-Yellowtail amberjack-FaoRegion77,8
4282-FAO-77-37,Lumped-Sickle pomfret-FaoRegion77,27
8847-FAO-77-37,Lumped-Chub mackerel-FaoRegion77,16481
10459-FAO-87-37,Lumped-Chub mackerel-FaoRegion87,103131
12072-FAO-87-37,Lumped-Chub mackerel-FaoRegion87,103131
1349-FAO-87-37,Lumped-Chub mackerel-FaoRegion87,103131
15863-FAO-87-37,Lumped-Chub mackerel-FaoRegion87,103131
17463-FAO-87-37,Lumped-Chub mackerel-FaoRegion87,103131
1801-FAO-87-37,Lumped-Chub mackerel-FaoRegion87,103131
3113-FAO-87-37,Lumped-Chub mackerel-FaoRegion87,103131
7277-FAO-87-37,Lumped-Chub mackerel-FaoRegion87,103131
8162-FAO-87-37,Lumped-Chub mackerel-FaoRegion87,103131
10461-FAO-87-37,Lumped-Common dolphinfish-FaoRegion87,75164
1804-FAO-87-37,Lumped-Common dolphinfish-FaoRegion87,75164
3115-FAO-87-37,Lumped-Common dolphinfish-FaoRegion87,75164
1776-FAO-87-37,Lumped-Atlantic saury-FaoRegion87,12977
1798-FAO-87-37,Lumped-Chilean silverside-FaoRegion87,1828
1894-FAO-87-37,Lumped-Southern rays bream-FaoRegion87,23214
3141-FAO-87-37,Lumped-Pacific bumper-FaoRegion87,336
3150-FAO-87-37,Lumped-Peruvian moonfish-FaoRegion87,186
3161-FAO-87-37,Lumped-Shortfin scad-FaoRegion87,10543
10684-FAO-21-37,Lumped-Atlantic mackerel-FaoRegion21,11380
11777-FAO-21-37,Lumped-Atlantic mackerel-FaoRegion21,11380
11999-FAO-21-37,Lumped-Atlantic mackerel-FaoRegion21,11380
1321-FAO-21-37,Lumped-Atlantic mackerel-FaoRegion21,11380
13524-FAO-21-37,Lumped-Atlantic mackerel-FaoRegion21,11380
14421-FAO-21-37,Lumped-Atlantic mackerel-FaoRegion21,11380
15800-FAO-21-37,Lumped-Atlantic mackerel-FaoRegion21,11380
1588-FAO-21-37,Lumped-Atlantic mackerel-FaoRegion21,11380
16737-FAO-21-37,Lumped-Atlantic mackerel-FaoRegion21,11380
2597-FAO-21-37,Lumped-Atlantic mackerel-FaoRegion21,11380
4504-FAO-21-37,Lumped-Atlantic mackerel-FaoRegion21,11380
6196-FAO-21-37,Lumped-Atlantic mackerel-FaoRegion21,11380
6511-FAO-21-37,Lumped-Atlantic mackerel-FaoRegion21,11380
10712-FAO-21-37,Lumped-Capelin-FaoRegion21,31845
14427-FAO-21-37,Lumped-Capelin-FaoRegion21,31845
15850-FAO-21-37,Lumped-Capelin-FaoRegion21,31845
1604-FAO-21-37,Lumped-Capelin-FaoRegion21,31845
2617-FAO-21-37,Lumped-Capelin-FaoRegion21,31845
5023-FAO-21-37,Lumped-Capelin-FaoRegion21,31845
6595-FAO-21-37,Lumped-Capelin-FaoRegion21,31845
9901-FAO-21-37,Lumped-Capelin-FaoRegion21,31845
1592-FAO-21-37,Lumped-Atlantic silverside-FaoRegion21,408
16752-FAO-21-37,Lumped-Atlantic silverside-FaoRegion21,408
16702-FAO-21-37,Lumped-American harvestfish-FaoRegion21,88
16850-FAO-21-37,Lumped-Cobia-FaoRegion21,7
16854-FAO-21-37,Lumped-Common dolphinfish-FaoRegion21,64
16859-FAO-21-37,Lumped-Crevalle jack-FaoRegion21,6
16867-FAO-21-37,Lumped-Dealfish-FaoRegion21,25
10682-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
10956-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
11996-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
1319-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
14493-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
15798-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
16349-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
1701-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
2921-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
3388-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
3601-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
3783-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
4502-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
5887-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
8126-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
828-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
9322-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
9875-FAO-27-37,Lumped-Atlantic horse mackerel-FaoRegion27,198998
10749-FAO-27-37,Lumped-Garfish-FaoRegion27,556
11192-FAO-27-37,Lumped-Garfish-FaoRegion27,556
13809-FAO-27-37,Lumped-Garfish-FaoRegion27,556
14523-FAO-27-37,Lumped-Garfish-FaoRegion27,556
16450-FAO-27-37,Lumped-Garfish-FaoRegion27,556
1724-FAO-27-37,Lumped-Garfish-FaoRegion27,556
2963-FAO-27-37,Lumped-Garfish-FaoRegion27,556
3444-FAO-27-37,Lumped-Garfish-FaoRegion27,556
3936-FAO-27-37,Lumped-Garfish-FaoRegion27,556
4601-FAO-27-37,Lumped-Garfish-FaoRegion27,556
7854-FAO-27-37,Lumped-Garfish-FaoRegion27,556
9376-FAO-27-37,Lumped-Garfish-FaoRegion27,556
9936-FAO-27-37,Lumped-Garfish-FaoRegion27,556
10959-FAO-27-37,Lumped-Atlantic pomfret-FaoRegion27,13390
13527-FAO-27-37,Lumped-Atlantic pomfret-FaoRegion27,13390
16351-FAO-27-37,Lumped-Atlantic pomfret-FaoRegion27,13390
3788-FAO-27-37,Lumped-Atlantic pomfret-FaoRegion27,13390
10972-FAO-27-37,Lumped-Atlantic saury-FaoRegion27,280
13537-FAO-27-37,Lumped-Atlantic saury-FaoRegion27,280
11063-FAO-27-37,Lumped-Bluefish-FaoRegion27,36
13642-FAO-27-37,Lumped-Bluefish-FaoRegion27,36
11090-FAO-27-37,Lumped-Chub mackerel-FaoRegion27,36045
3849-FAO-27-37,Lumped-Chub mackerel-FaoRegion27,36045
11104-FAO-27-37,Lumped-Common dolphinfish-FaoRegion27,8
11205-FAO-27-37,Lumped-Greater amberjack-FaoRegion27,29
13822-FAO-27-37,Lumped-Greater amberjack-FaoRegion27,29
11335-FAO-27-37,Lumped-Mediterranean horse mackerel-FaoRegion27,514
