"","idorig","commname","sciname","country","g","phi","k","msy","marginalcost","speciescat","speciescatname","regionfao","policy","beta","fvfmsy","bvbmsy","catch","price","idoriglumped","lumpedcatch2012","fmeyvfmsy","bmeyvbmsy","fcsvfmsy","bcsvbmsy"
"35","11731-FAO-51-37","Giant trevally","Caranx ignobilis","Qatar",0.0407448032824263,0.188,7321.07419987519,119.312856444528,67342759.2777092,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.12587019146442,1.33652077123749,339,993.59553552,"Lumped-Giant trevally-FaoRegion51",14146,0.813444490353445,1.20160176472535,0.813444490353445,1.20160176472535
"36","12737-FAO-51-37","Giant trevally","Caranx ignobilis","Saudi Arabia",0.0407448032824263,0.188,1490.13014687725,24.2849176833995,67342759.2777092,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.12587019146442,1.33652077123749,69,993.59553552,"Lumped-Giant trevally-FaoRegion51",14146,0.813444490353445,1.20160176472535,0.813444490353445,1.20160176472535
"37","5808-FAO-51-37","Giant trevally","Caranx ignobilis","Iran",0.0407448032824263,0.188,296687.071852169,4835.16230629772,67342759.2777092,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.12587019146442,1.33652077123749,13738,993.59553552,"Lumped-Giant trevally-FaoRegion51",14146,0.813444490353445,1.20160176472535,0.813444490353445,1.20160176472535
"38","11733-FAO-51-37","Golden trevally","Gnathanodon speciosus","Qatar",0.109144744014639,0.188,3181.73007165149,138.90131861681,3712144.88870385,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.66050742070427,0.454609428367934,168,993.59553552,"Lumped-Golden trevally-FaoRegion51",1195,0.808583972221918,1.2068965174123,0.808583972221918,1.2068965174123
"39","12738-FAO-51-37","Golden trevally","Gnathanodon speciosus","Saudi Arabia",0.109144744014639,0.188,10984.5442949873,479.540266653271,3712144.88870385,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.66050742070427,0.454609428367934,580,993.59553552,"Lumped-Golden trevally-FaoRegion51",1195,0.808583972221918,1.2068965174123,0.808583972221918,1.2068965174123
"40","16275-FAO-51-37","Golden trevally","Gnathanodon speciosus","United Arab Emirates",0.109144744014639,0.188,7386.15909490524,322.449489646165,3712144.88870385,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.66050742070427,0.454609428367934,390,993.59553552,"Lumped-Golden trevally-FaoRegion51",1195,0.808583972221918,1.2068965174123,0.808583972221918,1.2068965174123
"41","747-FAO-51-37","Golden trevally","Gnathanodon speciosus","Bahrain",0.109144744014639,0.188,1079.51556002461,47.1272331021318,3712144.88870385,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.66050742070427,0.454609428367934,57,993.59553552,"Lumped-Golden trevally-FaoRegion51",1195,0.808583972221918,1.2068965174123,0.808583972221918,1.2068965174123
"42","11740-FAO-51-37","Malabar trevally","Carangoides malabaricus","Qatar",0.0413450721079833,0.188,5965.40481727102,98.6515432764426,1772918.30628572,37,"Miscellaneous pelagic fishes","51","Historic",1.3,3.64863853590284,0.800124858540217,288,993.59553552,"Lumped-Malabar trevally-FaoRegion51",390,0.809457526200644,1.19741648749342,0.809457526200644,1.19741648749342
"43","12761-FAO-51-37","Malabar trevally","Carangoides malabaricus","Saudi Arabia",0.0413450721079833,0.188,2112.74753945015,34.9390882437401,1772918.30628572,37,"Miscellaneous pelagic fishes","51","Historic",1.3,3.64863853590284,0.800124858540217,102,993.59553552,"Lumped-Malabar trevally-FaoRegion51",390,0.809457526200644,1.19741648749342,0.809457526200644,1.19741648749342
"44","12709-FAO-51-37","Bigeye trevally","Caranx sexfasciatus","Saudi Arabia",0.0419369598583952,0.188,2978.94308365849,49.9688504887457,651008.910668517,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.82044100066126,1.06432651314023,150,993.59553552,"Lumped-Bigeye trevally-FaoRegion51",150,0.81214762805816,1.20039888461841,0.81214762805816,1.20039888461841
"45","12716-FAO-51-37","Bluefin trevally","Caranx melampygus","Saudi Arabia",0.042305982525423,0.188,395.825146363489,6.69800359090725,86275.3353248301,37,"Miscellaneous pelagic fishes","51","Historic",1.3,8.33278208344897,0.680844911770805,38,993.59553552,"Lumped-Bluefin trevally-FaoRegion51",38,0.799889795520738,1.19552939608671,0.799889795520738,1.19552939608671
"46","12731-FAO-51-37","Doublespotted queenfish","Scomberoides lysan","Saudi Arabia",0.0431785738474946,0.188,114.312904330029,1.97425734360909,24763.8737584181,37,"Miscellaneous pelagic fishes","51","Historic",1.3,32.5016250143423,0.420779842459289,27,993.59553552,"Lumped-Doublespotted queenfish-FaoRegion51",27,1e-04,4.51778614907047e-05,1e-04,4.51778614907047e-05
"47","12741-FAO-51-37","Great barracuda","Sphyraena barracuda","Saudi Arabia",0.0134208607751144,0.188,30313.2470437887,162.724535060063,9323997.70951956,37,"Miscellaneous pelagic fishes","51","Historic",1.3,8.78198103586476,0.783740858689313,1120,993.59553552,"Lumped-Great barracuda-FaoRegion51",1120,0.566157584860116,1.04977909176943,0.566157584860116,1.04977909176943
"48","12748-FAO-51-37","Hound needlefish","Tylosurus crocodilus","Saudi Arabia",0.0410241752119902,0.188,3749.36640055044,61.5230632376777,824802.058744466,37,"Miscellaneous pelagic fishes","51","Historic",1.3,4.98371037020531,0.42398706388036,130,993.59553552,"Lumped-Hound needlefish-FaoRegion51",130,0.784654337816438,1.18862680322763,0.784654337816438,1.18862680322763
"49","12752-FAO-51-37","Indian scad","Decapterus russelli","Saudi Arabia",0.104816898317237,0.188,28332.2165842112,1187.82391963973,4703866.33611339,37,"Miscellaneous pelagic fishes","51","Historic",1.3,0.728275861746719,1.44498064750003,1250,993.59553552,"Lumped-Indian scad-FaoRegion51",1250,0.808584054133895,1.20689656239147,0.808584054133895,1.20689656239147
"50","12767-FAO-51-37","Needlescaled queenfish","Scomberoides tol","Saudi Arabia",0.0420676792217759,0.188,3789.16282581063,63.7576103024172,827299.024916745,37,"Miscellaneous pelagic fishes","51","Historic",1.3,7.29711704727573,0.58033721435669,270,993.59553552,"Lumped-Needlescaled queenfish-FaoRegion51",270,0.796808819577609,1.19343430708333,0.796808819577609,1.19343430708333
"51","12768-FAO-51-37","Obtuse barracuda","Sphyraena obtusata","Saudi Arabia",0.0412015421336945,0.188,2812.82033353819,46.354902693602,617976.217781547,37,"Miscellaneous pelagic fishes","51","Historic",1.3,3.6544118570732,0.885478649363953,150,993.59553552,"Lumped-Obtuse barracuda-FaoRegion51",150,0.808471820484294,1.20051947478369,0.808471820484294,1.20051947478369
"52","12772-FAO-51-37","Orangespotted trevally","Carangoides bajad","Saudi Arabia",0.0395987605528379,0.188,61348.5877744396,971.686953933319,25381649.0966164,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.35329248071369,0.502916125854218,1150,993.59553552,"Lumped-Orangespotted trevally-FaoRegion51",2140,0.79423082267735,1.1927976933719,0.79423082267735,1.1927976933719
"53","16294-FAO-51-37","Orangespotted trevally","Carangoides bajad","United Arab Emirates",0.0395987605528379,0.188,52813.1320840828,836.495725559987,25381649.0966164,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.35329248071369,0.502916125854218,990,993.59553552,"Lumped-Orangespotted trevally-FaoRegion51",2140,0.79423082267735,1.1927976933719,0.79423082267735,1.1927976933719
"54","12779-FAO-51-37","Pickhandle barracuda","Sphyraena jello","Saudi Arabia",0.0421522424390111,0.188,988.373678403925,16.6641077021738,215664.556525216,37,"Miscellaneous pelagic fishes","51","Historic",1.3,10.0735346571644,0.405083882627223,68,993.59553552,"Lumped-Pickhandle barracuda-FaoRegion51",68,0.76848311626255,1.18012291652188,0.76848311626255,1.18012291652188
"55","12791-FAO-51-37","Shrimp scad","Alepes djedaba","Saudi Arabia",0.0414923634691028,0.188,4012.79402343838,66.5970897107158,879751.926443641,37,"Miscellaneous pelagic fishes","51","Historic",1.3,3.72990557764281,0.805150203285487,200,993.59553552,"Lumped-Shrimp scad-FaoRegion51",200,0.809318896896252,1.19778489291115,0.809318896896252,1.19778489291115
"56","12793-FAO-51-37","Silver pomfret","Pampus argenteus","Saudi Arabia",0.107872408973588,0.188,141.531949038551,6.10667875193944,10660016.3642278,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.60191503425701,0.629363881153106,10,1666.62523,"Lumped-Silver pomfret-FaoRegion51",2728,0.808584006243338,1.20689653259134,0.808584006243338,1.20689653259134
"57","5836-FAO-51-37","Silver pomfret","Pampus argenteus","Iran",0.107872408973588,0.188,30556.7477974231,1318.43194254372,10660016.3642278,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.60191503425701,0.629363881153106,2159,1666.62523,"Lumped-Silver pomfret-FaoRegion51",2728,0.808584006243338,1.20689653259134,0.808584006243338,1.20689653259134
"58","5867-FAO-51-37","Silver pomfret","Pampus argenteus","Iraq",0.107872408973588,0.188,4797.93307240687,207.016409690747,10660016.3642278,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.60191503425701,0.629363881153106,339,1666.62523,"Lumped-Silver pomfret-FaoRegion51",2728,0.808584006243338,1.20689653259134,0.808584006243338,1.20689653259134
"59","7782-FAO-51-37","Silver pomfret","Pampus argenteus","Kuwait",0.107872408973588,0.188,3113.70287884812,134.346932542668,10660016.3642278,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.60191503425701,0.629363881153106,220,1666.62523,"Lumped-Silver pomfret-FaoRegion51",2728,0.808584006243338,1.20689653259134,0.808584006243338,1.20689653259134
"60","12801-FAO-51-37","Snubnose pompano","Trachinotus blochii","Saudi Arabia",0.0421427135949207,0.188,1150.01470879026,19.3850131988866,250951.881806404,37,"Miscellaneous pelagic fishes","51","Historic",1.3,5.04706392907517,0.613262407421612,60,993.59553552,"Lumped-Snubnose pompano-FaoRegion51",60,0.802180713202632,1.19619386063549,0.802180713202632,1.19619386063549
"61","12812-FAO-51-37","Talang queenfish","Scomberoides commersonnianus","Saudi Arabia",0.0405556901360635,0.188,7681.62119635218,124.607703616974,70287784.1549983,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.67251545017675,1.11105768315844,370,993.59553552,"Lumped-Talang queenfish-FaoRegion51",15337,0.812269778017422,1.20048002816191,0.812269778017422,1.20048002816191
"62","5846-FAO-51-37","Talang queenfish","Scomberoides commersonnianus","Iran",0.0405556901360635,0.188,310005.318118732,5028.76278488826,70287784.1549983,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.67251545017675,1.11105768315844,14932,993.59553552,"Lumped-Talang queenfish-FaoRegion51",15337,0.812269778017422,1.20048002816191,0.812269778017422,1.20048002816191
"63","790-FAO-51-37","Talang queenfish","Scomberoides commersonnianus","Bahrain",0.0405556901360635,0.188,726.639842898179,11.7872152070111,70287784.1549983,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.67251545017675,1.11105768315844,35,993.59553552,"Lumped-Talang queenfish-FaoRegion51",15337,0.812269778017422,1.20048002816191,0.812269778017422,1.20048002816191
"64","12832-FAO-51-37","Yellowspotted trevally","Carangoides fulvoguttatus","Saudi Arabia",0.0420484947221514,0.188,3328.67724599425,55.9837969393969,726859.3174202,37,"Miscellaneous pelagic fishes","51","Historic",1.3,5.08888319452634,0.666912363240423,190,993.59553552,"Lumped-Yellowspotted trevally-FaoRegion51",190,0.804158299738103,1.19689119140872,0.804158299738103,1.19689119140872
"65","12834-FAO-51-37","Yellowtail scad","Atule mate","Saudi Arabia",0.0418954830115226,0.188,25388.4818974411,425.445705433219,5549966.77378701,37,"Miscellaneous pelagic fishes","51","Historic",1.3,3.26410316053585,0.972133139803138,1350,993.59553552,"Lumped-Yellowtail scad-FaoRegion51",1350,0.811272822407134,1.1998669262359,0.811272822407134,1.1998669262359
"66","13308-FAO-51-37","Chub mackerel","Scomber japonicus","South Africa",0.0366351677094302,0.188,0,0,10230914.947019,37,"Miscellaneous pelagic fishes","51","Historic",1.3,5.98585752371781,0.265818775762594,0,1239.82641964,"Lumped-Chub mackerel-FaoRegion51",840,0.693070798034861,1.13965174074144,0.693070798034861,1.13965174074144
"67","3200-FAO-51-37","Chub mackerel","Scomber japonicus","Egypt",0.0366351677094302,0.188,36027.0633927834,527.918956678721,10230914.947019,37,"Miscellaneous pelagic fishes","51","Historic",1.3,5.98585752371781,0.265818775762594,840,1239.82641964,"Lumped-Chub mackerel-FaoRegion51",840,0.693070798034861,1.13965174074144,0.693070798034861,1.13965174074144
"68","7274-FAO-51-37","Chub mackerel","Scomber japonicus","Republic of Korea",0.0366351677094302,0.188,0,0,10230914.947019,37,"Miscellaneous pelagic fishes","51","Historic",1.3,5.98585752371781,0.265818775762594,0,1239.82641964,"Lumped-Chub mackerel-FaoRegion51",840,NA,NA,NA,NA
"69","5815-FAO-51-37","Indian pompano","Trachinotus mookalee","Iran",0.0403773360743665,0.188,6330.6439390778,102.241157995525,1399298.59977499,37,"Miscellaneous pelagic fishes","51","Historic",1.3,6.42268593190994,1.21675834639377,799,993.59553552,"Lumped-Indian pompano-FaoRegion51",799,0.809303543163315,1.20225134521685,0.809303543163315,1.20225134521685
"70","1015-FAO-34-37","African moonfish","Selene dorsalis","Benin",0.092087525772296,0.188,0,0,15547853.5361739,37,"Miscellaneous pelagic fishes","34","Historic",1.3,2.30732677131926,0.327082519265533,0,993.59553552,"Lumped-African moonfish-FaoRegion34",2504,0.808577789386486,1.20689366522266,0.808577789386486,1.20689366522266
"71","11950-FAO-34-37","African moonfish","Selene dorsalis","Russian Federation",0.092087525772296,0.188,8741.75882455914,321.988109617158,15547853.5361739,37,"Miscellaneous pelagic fishes","34","Historic",1.3,2.30732677131926,0.327082519265533,243,993.59553552,"Lumped-African moonfish-FaoRegion34",2504,0.808577789386486,1.20689366522266,0.808577789386486,1.20689366522266
"72","12835-FAO-34-37","African moonfish","Selene dorsalis","Senegal",0.092087525772296,0.188,10072.8085221258,371.015105731705,15547853.5361739,37,"Miscellaneous pelagic fishes","34","Historic",1.3,2.30732677131926,0.327082519265533,280,993.59553552,"Lumped-African moonfish-FaoRegion34",2504,0.808577789386486,1.20689366522266,0.808577789386486,1.20689366522266
"73","13090-FAO-34-37","African moonfish","Selene dorsalis","Sierra Leone",0.092087525772296,0.188,8993.57903761228,331.263487260451,15547853.5361739,37,"Miscellaneous pelagic fishes","34","Historic",1.3,2.30732677131926,0.327082519265533,250,993.59553552,"Lumped-African moonfish-FaoRegion34",2504,0.808577789386486,1.20689366522266,0.808577789386486,1.20689366522266
"74","15109-FAO-34-37","African moonfish","Selene dorsalis","Togo",0.092087525772296,0.188,3489.50866659357,128.530233057055,15547853.5361739,37,"Miscellaneous pelagic fishes","34","Historic",1.3,2.30732677131926,0.327082519265533,97,993.59553552,"Lumped-African moonfish-FaoRegion34",2504,0.808577789386486,1.20689366522266,0.808577789386486,1.20689366522266
"75","15458-FAO-34-37","African moonfish","Selene dorsalis","Ukraine",0.092087525772296,0.188,0,0,15547853.5361739,37,"Miscellaneous pelagic fishes","34","Historic",1.3,2.30732677131926,0.327082519265533,0,993.59553552,"Lumped-African moonfish-FaoRegion34",2504,0.808577789386486,1.20689366522266,0.808577789386486,1.20689366522266
"76","15751-FAO-34-37","African moonfish","Selene dorsalis","Un. Sov. Soc. Rep.",0.092087525772296,0.188,0,0,15547853.5361739,37,"Miscellaneous pelagic fishes","34","Historic",1.3,2.30732677131926,0.327082519265533,0,993.59553552,"Lumped-African moonfish-FaoRegion34",2504,NA,NA,NA,NA
