dbase,idorig,idoriglumped,commname,sciname,country,speciescat,speciescatname,regionfao,k,fvfmsy,g,beta,phi,price,eqfvfmey,fmeyvfmsy,curr_f,f_mey,pctredfmsy,pctredfmey,fconmsy,fconmey,pctredfmsycon,pctredfmeycon,marginalcost
FAO,12748-FAO-51-37,Lumped-Hound needlefish-FaoRegion51,Hound needlefish,Tylosurus crocodilus,Saudi Arabia,37,Miscellaneous pelagic fishes,51,3749.366,4.984,0.041,1.3,0.188,993.596,6.13633067544217,0.812164570946333,0.204344,0.03329874740879965,79.93579454253612,83.70361616915402,0.041,0.03329874740879965,79.93579454253612,83.70456318325978,824568.9875240326
FAO,12752-FAO-51-37,Lumped-Indian scad-FaoRegion51,Indian scad,Decapterus russelli,Saudi Arabia,37,Miscellaneous pelagic fishes,51,28332.217,0.728,0.105,1.3,0.188,993.596,0.900680464990192,0.808584054007045,0.07644,0.08490132567073973,-37.362637362637365,-11.027166555776201,0.07644,0.07644,0,0,4808654.176351666
FAO,12767-FAO-51-37,Lumped-Needlescaled queenfish-FaoRegion51,Needlescaled queenfish,Scomberoides tol,Saudi Arabia,37,Miscellaneous pelagic fishes,51,3789.163,7.297,0.042,1.3,0.188,993.596,8.97857512885981,0.812725509621301,0.306474,0.034134471404094646,86.29573797451006,88.86237531403282,0.042,0.034134471404094646,86.29573797451006,88.86219666134986,824314.4236544371
FAO,12768-FAO-51-37,Lumped-Obtuse barracuda-FaoRegion51,Obtuse barracuda,Sphyraena obtusata,Saudi Arabia,37,Miscellaneous pelagic fishes,51,2812.82,3.654,0.041,1.3,0.188,993.596,4.50107582410187,0.811897421835233,0.149814,0.033287794295244554,72.63273125342091,77.78308921957482,0.041,0.033287794295244554,72.63273125342091,77.78058506198049,619672.4601559639
FAO,12772-FAO-51-37,Lumped-Orangespotted trevally-FaoRegion51,Orangespotted trevally,Carangoides bajad,Saudi Arabia,37,Miscellaneous pelagic fishes,51,61348.588,2.353,0.04,1.3,0.188,993.596,2.89674279094406,0.812392625286124,0.09412000000000001,0.03249570501144496,57.50106247343817,65.47846763867855,0.04,0.03249570501144496,57.50106247343817,65.47417657092545,13572161.69822073
FAO,16294-FAO-51-37,Lumped-Orangespotted trevally-FaoRegion51,Orangespotted trevally,Carangoides bajad,United Arab Emirates,37,Miscellaneous pelagic fishes,51,52813.132,2.353,0.04,1.3,0.188,993.596,2.89674279094406,0.812392625286124,0.09412000000000001,0.03249570501144496,57.50106247343817,65.47846763867855,0.04,0.03249570501144496,57.50106247343817,65.47417657092545,11683860.878647804
FAO,12779-FAO-51-37,Lumped-Pickhandle barracuda-FaoRegion51,Pickhandle barracuda,Sphyraena jello,Saudi Arabia,37,Miscellaneous pelagic fishes,51,988.374,10.074,0.042,1.3,0.188,993.596,12.3966164327062,0.812603560967427,0.42310800000000004,0.03412934956063194,90.0734564224737,91.9332827192936,0.042,0.03412934956063194,90.0734564224737,91.93365534080378,215186.35370743275
FAO,12791-FAO-51-37,Lumped-Shrimp scad-FaoRegion51,Shrimp scad,Alepes djedaba,Saudi Arabia,37,Miscellaneous pelagic fishes,51,4012.794,3.73,0.041,1.3,0.188,993.596,4.5843211450763,0.813622226629747,0.15293,0.03335851129181963,73.19034852546918,78.18651947902842,0.041,0.03335851129181963,73.19034852546918,78.18707167212474,874183.1543294191
FAO,12793-FAO-51-37,Lumped-Silver pomfret-FaoRegion51,Silver pomfret,Pampus argenteus,Saudi Arabia,37,Miscellaneous pelagic fishes,51,141.532,2.602,0.108,1.3,0.188,1666.625,3.21786585189539,0.80858405975017,0.281016,0.08732707845301836,61.568024596464255,68.92350253162421,0.108,0.08732707845301836,61.568024596464255,68.92451730399038,39953.546355843544
FAO,5836-FAO-51-37,Lumped-Silver pomfret-FaoRegion51,Silver pomfret,Pampus argenteus,Iran,37,Miscellaneous pelagic fishes,51,30556.748,2.602,0.108,1.3,0.188,1666.625,3.21786585189539,0.80858405975017,0.281016,0.08732707845301836,61.568024596464255,68.92350253162421,0.108,0.08732707845301836,61.568024596464255,68.92451730399038,8625967.60948646
FAO,5867-FAO-51-37,Lumped-Silver pomfret-FaoRegion51,Silver pomfret,Pampus argenteus,Iraq,37,Miscellaneous pelagic fishes,51,4797.933,2.602,0.108,1.3,0.188,1666.625,3.21786585189539,0.80858405975017,0.281016,0.08732707845301836,61.568024596464255,68.92350253162421,0.108,0.08732707845301836,61.568024596464255,68.92451730399038,1354424.713339448
FAO,7782-FAO-51-37,Lumped-Silver pomfret-FaoRegion51,Silver pomfret,Pampus argenteus,Kuwait,37,Miscellaneous pelagic fishes,51,3113.703,2.602,0.108,1.3,0.188,1666.625,3.21786585189539,0.80858405975017,0.281016,0.08732707845301836,61.568024596464255,68.92350253162421,0.108,0.08732707845301836,61.568024596464255,68.92451730399038,878977.7375379801
FAO,12801-FAO-51-37,Lumped-Snubnose pompano-FaoRegion51,Snubnose pompano,Trachinotus blochii,Saudi Arabia,37,Miscellaneous pelagic fishes,51,1150.015,5.047,0.042,1.3,0.188,993.596,6.21087222302601,0.812617575734988,0.211974,0.0341299381808695,80.18624925698434,83.89920184973974,0.042,0.0341299381808695,80.18624925698434,83.8989979049933,250355.66179132462
FAO,12812-FAO-51-37,Lumped-Talang queenfish-FaoRegion51,Talang queenfish,Scomberoides commersonnianus,Saudi Arabia,37,Miscellaneous pelagic fishes,51,7681.621,2.673,0.041,1.3,0.188,993.596,3.28759592118734,0.81290873764424,0.10959300000000001,0.03332925824341384,62.58885147774036,69.58263655349583,0.041,0.03332925824341384,62.58885147774037,69.58815048094876,1681222.5643777847
