species,grp,clade,region,pctredbpt,pctredbl,pctredbu,key,q025,q50,q975,silhouette,lambda,delta,fe,redlist
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.6,77.1,214.3,pctredmsy,36.35419090605545,44.381826317140835,51.75487593015985,turtle,0.82,-0.18,0.14,VU
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.6,77.1,214.3,ycostmsy,100,100,100,turtle,0.82,-0.18,0.14,VU
Sooty shearwater,bird,bird,"Atlantic, Pacific, S Indian Ocean, S Ocean",600,360,1e3,pcostmey,100,100,100,bird,0.982,-0.018,0.003,NT
Sooty shearwater,bird,bird,"Atlantic, Pacific, S Indian Ocean, S Ocean",600,360,1e3,pctredmey,36.7975970714594,41.49355272032976,46.05848461424673,bird,0.982,-0.018,0.003,NT
Sooty shearwater,bird,bird,"Atlantic, Pacific, S Indian Ocean, S Ocean",600,360,1e3,pctredmsy,14.036628235651227,20.08703596616483,25.52638672647351,bird,0.982,-0.018,0.003,NT
Sooty shearwater,bird,bird,"Atlantic, Pacific, S Indian Ocean, S Ocean",600,360,1e3,ycostmsy,100,100,100,bird,0.982,-0.018,0.003,NT
Taiwanese humpback dolphin,mammal,cetacean,NW Pacific,38.5,23.1,64.1,pcostmey,0,0,0,dolphin,0.975,-0.025,0.065,CR
Taiwanese humpback dolphin,mammal,cetacean,NW Pacific,38.5,23.1,64.1,pctredmey,48.31002908252755,53.109972203747276,57.133992986754606,dolphin,0.975,-0.025,0.065,CR
Taiwanese humpback dolphin,mammal,cetacean,NW Pacific,38.5,23.1,64.1,pctredmsy,35.77942327146997,41.22058307843631,44.829532793186125,dolphin,0.975,-0.025,0.065,CR
Taiwanese humpback dolphin,mammal,cetacean,NW Pacific,38.5,23.1,64.1,ycostmsy,0,0,0.009007873837223653,dolphin,0.975,-0.025,0.065,CR
Tristan albatross,bird,bird,S Atlantic,90.6,54.4,151,pcostmey,66.26689136005724,68.944514592737,71.36750941348572,bird,0.971,-0.029,0.032,CR
