species,grp,clade,region,pctredbpt,key,q025,q50,q975,silhouette,delta_mean,delta_q025,delta_q975,fe_mean,fe_q025,fe_q975,deltaN_mean,deltaN_q025,deltaN_q975,sensrange_type,redlist,type_short,type_description
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,63.80090498,pctredmsy,-18.716167932357653,9.020591973037936,31.659029542982434,porpoise,-0.0705,-0.133,-0.008,0.1105,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,63.80090498,ycostmsy,0,14.999703273209745,100,porpoise,-0.0705,-0.133,-0.008,0.1105,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,38.46153846,pcostmey,0,0,100,dolphin,-0.025,-0.045,-0.005,0.065,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,38.46153846,pctredmey,25.409128781459923,42.656515430271796,55.76930445202984,dolphin,-0.025,-0.045,-0.005,0.065,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,38.46153846,pctredmsy,-7.347807830629477,18.35752127700562,37.96549392217795,dolphin,-0.025,-0.045,-0.005,0.065,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,38.46153846,ycostmsy,0,0.4619843176277836,100,dolphin,-0.025,-0.045,-0.005,0.065,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.10778443,pcostmey,0,0,24.255090758541083,turtle,-0.154,NA,NA,0.334,0.236,0.432,0.18,0.102,0.258,2,CR,"Fe normal, Delta_n normal","Bounds on Fe and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.10778443,pctredmey,67.42613969340586,71.50838121264479,73.75025600299313,turtle,-0.154,NA,NA,0.334,0.236,0.432,0.18,0.102,0.258,2,CR,"Fe normal, Delta_n normal","Bounds on Fe and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.10778443,pctredmsy,54.43442634508309,60.20207366580749,63.302009504808126,turtle,-0.154,NA,NA,0.334,0.236,0.432,0.18,0.102,0.258,2,CR,"Fe normal, Delta_n normal","Bounds on Fe and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.10778443,ycostmsy,0,0,35.315429230961186,turtle,-0.154,NA,NA,0.334,0.236,0.432,0.18,0.102,0.258,2,CR,"Fe normal, Delta_n normal","Bounds on Fe and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.090909091,pcostmey,0,0.41955730303605243,34.99769571123507,turtle,-0.001,-0.025,0.023,0.011,NA,NA,0.01,0.0056,0.0144,3,CR,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.090909091,pctredmey,-11.73206625167151,1.7814875428305383,12.737155569059935,turtle,-0.001,-0.025,0.023,0.011,NA,NA,0.01,0.0056,0.0144,3,CR,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.090909091,pctredmsy,-46.32002406903176,-29.01176452769061,-14.94439056370648,turtle,-0.001,-0.025,0.023,0.011,NA,NA,0.01,0.0056,0.0144,3,CR,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.090909091,ycostmsy,0,3.281334396912309,40.3436555258011,turtle,-0.001,-0.025,0.023,0.011,NA,NA,0.01,0.0056,0.0144,3,CR,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.70750988,pcostmey,0,0,100,turtle,-0.073,-0.174,0.028,0.1265,NA,NA,0.0535,-0.025,0.132,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.70750988,pctredmey,45.118304742299,53.20553217542092,60.1223651733585,turtle,-0.073,-0.174,0.028,0.1265,NA,NA,0.0535,-0.025,0.132,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.70750988,pctredmsy,21.587372960125865,33.53293178872264,43.84326994413557,turtle,-0.073,-0.174,0.028,0.1265,NA,NA,0.0535,-0.025,0.132,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.70750988,ycostmsy,0,0.15851295505251545,100,turtle,-0.073,-0.174,0.028,0.1265,NA,NA,0.0535,-0.025,0.132,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,15.33546326,pcostmey,0,0,45.31615530236285,turtle,-0.0096,-0.0322,0.013,0.0626,NA,NA,0.053,0.021,0.085,3,LC,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,15.33546326,pctredmey,17.2631391676462,29.05034883401862,38.583305903116695,turtle,-0.0096,-0.0322,0.013,0.0626,NA,NA,0.053,0.021,0.085,3,LC,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,15.33546326,pctredmsy,-13.351185506570516,2.7176376313264488,15.645733678561303,turtle,-0.0096,-0.0322,0.013,0.0626,NA,NA,0.053,0.021,0.085,3,LC,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,15.33546326,ycostmsy,0,0.17029531839429307,49.53816845653959,turtle,-0.0096,-0.0322,0.013,0.0626,NA,NA,0.053,0.021,0.085,3,LC,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,44.21052632,pcostmey,0,0,100,turtle,-0.042,-0.173,0.089,0.095,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,44.21052632,pctredmey,36.13656539107099,44.953949918719445,52.2277317456515,turtle,-0.042,-0.173,0.089,0.095,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,44.21052632,pctredmsy,7.7411932189041845,20.841276822548725,31.616181075518114,turtle,-0.042,-0.173,0.089,0.095,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,44.21052632,ycostmsy,0,0.22829573191102687,100,turtle,-0.042,-0.173,0.089,0.095,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,45.91836735,pcostmey,0,0,100,turtle,-0.045,-0.115,0.025,0.098,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,45.91836735,pctredmey,53.57292907627184,60.436816982236174,65.20193137000403,turtle,-0.045,-0.115,0.025,0.098,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,45.91836735,pctredmsy,34.60564007670019,45.11942764599146,52.226828531609094,turtle,-0.045,-0.115,0.025,0.098,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,45.91836735,ycostmsy,0,0,100,turtle,-0.045,-0.115,0.025,0.098,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Māui dolphin,mammal,cetacean,New Zealand,67.63285024,pcostmey,0,39.95066558067855,87.99237173167855,dolphin,-0.07,-0.135,-0.005,0.1035,NA,NA,0.0335,0.018,0.049,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Māui dolphin,mammal,cetacean,New Zealand,67.63285024,pctredmey,-41.822611614331024,-29.473133323240326,-18.36263695771432,dolphin,-0.07,-0.135,-0.005,0.1035,NA,NA,0.0335,0.018,0.049,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Māui dolphin,mammal,cetacean,New Zealand,67.63285024,pctredmsy,-85.95035993247035,-69.5854674785662,-55.16700287124347,dolphin,-0.07,-0.135,-0.005,0.1035,NA,NA,0.0335,0.018,0.049,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Māui dolphin,mammal,cetacean,New Zealand,67.63285024,ycostmsy,0,51.43000848833589,91.7727087848192,dolphin,-0.07,-0.135,-0.005,0.1035,NA,NA,0.0335,0.018,0.049,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,pcostmey,0,11.112954855586176,100,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,pctredmey,11.928738150420987,31.717028430179496,47.44252747364995,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,pctredmsy,-26.63460055361315,2.6176092232115007,25.984818359421013,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,ycostmsy,0,25.894862565233275,100,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
New Zealand sea lion,mammal,pinniped,New Zealand,34.32835821,pcostmey,0,46.250811890027585,100,pinniped,-0.023,-0.0485,0.0025,0.067,0.012,0.122,0.044,NA,NA,4,CR,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
New Zealand sea lion,mammal,pinniped,New Zealand,34.32835821,pctredmey,-151.44405678687477,-134.96830771056892,-124.68183088179798,pinniped,-0.023,-0.0485,0.0025,0.067,0.012,0.122,0.044,NA,NA,4,CR,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
New Zealand sea lion,mammal,pinniped,New Zealand,34.32835821,pctredmsy,-239.61742951734828,-217.6036158912687,-204.22627540123156,pinniped,-0.023,-0.0485,0.0025,0.067,0.012,0.122,0.044,NA,NA,4,CR,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
New Zealand sea lion,mammal,pinniped,New Zealand,34.32835821,ycostmsy,0,59.75597924551752,100,pinniped,-0.023,-0.0485,0.0025,0.067,0.012,0.122,0.044,NA,NA,4,CR,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.46153846,pcostmey,0,0,100,turtle,-0.03,-0.138,0.078,0.078,NA,NA,0.048,-0.03,0.126,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.46153846,pctredmey,60.14886671312711,62.86259132959094,65.35236722661647,turtle,-0.03,-0.138,0.078,0.078,NA,NA,0.048,-0.03,0.126,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.46153846,pctredmsy,44.442256576796765,48.545018018979945,52.43156968695416,turtle,-0.03,-0.138,0.078,0.078,NA,NA,0.048,-0.03,0.126,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.46153846,ycostmsy,0,0,100,turtle,-0.03,-0.138,0.078,0.078,NA,NA,0.048,-0.03,0.126,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.5714286,pcostmey,0,59.79097108910986,100,turtle,-0.18,-0.366,0.006,0.14,NA,NA,-0.04,-0.118,0.038,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.5714286,pctredmey,42.21274216156857,52.018801434711285,59.67059088646177,turtle,-0.18,-0.366,0.006,0.14,NA,NA,-0.04,-0.118,0.038,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.5714286,pctredmsy,18.630698071009974,32.37855990487952,43.46659320118604,turtle,-0.18,-0.366,0.006,0.14,NA,NA,-0.04,-0.118,0.038,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.5714286,ycostmsy,0,79.25694036179453,100,turtle,-0.18,-0.366,0.006,0.14,NA,NA,-0.04,-0.118,0.038,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Sooty shearwater,bird,bird,"Atlantic, Pacific, S Indian Ocean, S Ocean",30.90909091,pcostmey,0,1.069888650887336e-5,100,bird,-0.017,-0.021,-0.013,0.055,NA,NA,0.038,0.004,0.072,3,NT,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Sooty shearwater,bird,bird,"Atlantic, Pacific, S Indian Ocean, S Ocean",30.90909091,pctredmey,17.069394932172735,30.00972220808523,38.39505917081312,bird,-0.017,-0.021,-0.013,0.055,NA,NA,0.038,0.004,0.072,3,NT,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Sooty shearwater,bird,bird,"Atlantic, Pacific, S Indian Ocean, S Ocean",30.90909091,pctredmsy,-22.143185226436163,-2.992514197564039,9.157660935915949,bird,-0.017,-0.021,-0.013,0.055,NA,NA,0.038,0.004,0.072,3,NT,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Sooty shearwater,bird,bird,"Atlantic, Pacific, S Indian Ocean, S Ocean",30.90909091,ycostmsy,0.20120812424401635,4.348434227074012,100,bird,-0.017,-0.021,-0.013,0.055,NA,NA,0.038,0.004,0.072,3,NT,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Taiwanese humpback dolphin,mammal,cetacean,NW Pacific,63.63636364,pcostmey,0,14.669086374327298,100,dolphin,-0.07,-0.135,-0.005,0.11,NA,NA,0.04,0.008,0.072,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Taiwanese humpback dolphin,mammal,cetacean,NW Pacific,63.63636364,pctredmey,2.4027733010970636,25.507128005022217,42.37061242001872,dolphin,-0.07,-0.135,-0.005,0.11,NA,NA,0.04,0.008,0.072,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Taiwanese humpback dolphin,mammal,cetacean,NW Pacific,63.63636364,pctredmsy,-41.35211160461229,-7.017494182993657,18.291388430568876,dolphin,-0.07,-0.135,-0.005,0.11,NA,NA,0.04,0.008,0.072,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Taiwanese humpback dolphin,mammal,cetacean,NW Pacific,63.63636364,ycostmsy,0,30.29649469061666,100,dolphin,-0.07,-0.135,-0.005,0.11,NA,NA,0.04,0.008,0.072,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Tristan albatross,bird,bird,S Atlantic,128.125,pcostmey,19.450869303197827,100,100,bird,-0.041,-0.053,-0.029,0.032,NA,NA,-0.009,-0.021,0.003,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Tristan albatross,bird,bird,S Atlantic,128.125,pctredmey,22.092272446659333,28.047737705138406,33.38487984641631,bird,-0.041,-0.053,-0.029,0.032,NA,NA,-0.009,-0.021,0.003,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Tristan albatross,bird,bird,S Atlantic,128.125,pctredmsy,-15.196021464119825,-6.3861466902037325,1.4696525586790061,bird,-0.041,-0.053,-0.029,0.032,NA,NA,-0.009,-0.021,0.003,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Tristan albatross,bird,bird,S Atlantic,128.125,ycostmsy,32.42416959380409,100,100,bird,-0.041,-0.053,-0.029,0.032,NA,NA,-0.009,-0.021,0.003,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Vaquita porpoise,mammal,cetacean,Gulf of California - Mexico,90.69767442,pcostmey,45.534582699193614,73.1557764794779,100,porpoise,-0.39,-0.52,-0.26,0.43,NA,NA,0.04,0.008,0.072,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Vaquita porpoise,mammal,cetacean,Gulf of California - Mexico,90.69767442,pctredmey,-29.346140855939097,-27.60059997577979,-26.75669726437972,porpoise,-0.39,-0.52,-0.26,0.43,NA,NA,0.04,0.008,0.072,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Vaquita porpoise,mammal,cetacean,Gulf of California - Mexico,90.69767442,pctredmsy,-37.132210333258435,-34.72109486462266,-33.58752048792488,porpoise,-0.39,-0.52,-0.26,0.43,NA,NA,0.04,0.008,0.072,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Vaquita porpoise,mammal,cetacean,Gulf of California - Mexico,90.69767442,ycostmsy,5.542819780592962,9.732966149898026,100,porpoise,-0.39,-0.52,-0.26,0.43,NA,NA,0.04,0.008,0.072,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
White-chinned petrel,bird,bird,"S Pacific, S Atlantic, S Indian, S Ocean",27.69230769,pcostmey,0,0,28.34800448159942,bird,-0.036,-0.087,0.015,0.13,NA,NA,0.094,0.06,0.128,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
