species,grp,clade,region,pctredbpt,key,q025,q50,q975,silhouette,delta_mean,delta_q025,delta_q975,fe_mean,fe_q025,fe_q975,deltaN_mean,deltaN_q025,deltaN_q975,sensrange_type,redlist,type_short,type_description
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.70750988,ycostmsy,0,1.2912123718303987,100,turtle,-0.073,-0.174,0.028,0.1265,NA,NA,0.0535,-0.025,0.132,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,15.33546326,pcostmey,0,0,1.0828002496701212,turtle,-0.0096,-0.0322,0.013,0.0626,NA,NA,0.053,0.021,0.085,3,LC,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,15.33546326,pctredmey,18.360562511752793,23.64236256613725,28.764434407238358,turtle,-0.0096,-0.0322,0.013,0.0626,NA,NA,0.053,0.021,0.085,3,LC,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,15.33546326,pctredmsy,4.299301913049393,10.493632647189935,16.45134532859008,turtle,-0.0096,-0.0322,0.013,0.0626,NA,NA,0.053,0.021,0.085,3,LC,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,15.33546326,ycostmsy,0,0.029477838598301224,1.9765735462102212,turtle,-0.0096,-0.0322,0.013,0.0626,NA,NA,0.053,0.021,0.085,3,LC,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,44.21052632,pcostmey,0,0.14373402095863214,100,turtle,-0.042,-0.173,0.089,0.095,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,44.21052632,pctredmey,27.02597296941851,31.559027078380538,35.7422936897259,turtle,-0.042,-0.173,0.089,0.095,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,44.21052632,pctredmsy,12.790655657434625,18.40970594694111,23.55226192438765,turtle,-0.042,-0.173,0.089,0.095,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,44.21052632,ycostmsy,0,0.647783140203626,100,turtle,-0.042,-0.173,0.089,0.095,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,45.91836735,pcostmey,0,0.030050667077773423,100,turtle,-0.045,-0.115,0.025,0.098,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,45.91836735,pctredmey,36.58532388102992,39.95752222972425,42.94735601764732,turtle,-0.045,-0.115,0.025,0.098,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,45.91836735,pctredmsy,25.430708424863983,29.50621488910719,33.01986998585941,turtle,-0.045,-0.115,0.025,0.098,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,45.91836735,ycostmsy,0,0.08145556561038471,100,turtle,-0.045,-0.115,0.025,0.098,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Māui dolphin,mammal,cetacean,New Zealand,67.63285024,pcostmey,2.276361371772901,57.15444837487612,85.56598492405493,dolphin,-0.07,-0.135,-0.005,0.1035,NA,NA,0.0335,0.018,0.049,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Māui dolphin,mammal,cetacean,New Zealand,67.63285024,pctredmey,-15.547983984455964,-9.62491242918801,-3.542943418737489,dolphin,-0.07,-0.135,-0.005,0.1035,NA,NA,0.0335,0.018,0.049,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Māui dolphin,mammal,cetacean,New Zealand,67.63285024,pctredmsy,-32.286354608972225,-25.642260093175267,-18.654304030837384,dolphin,-0.07,-0.135,-0.005,0.1035,NA,NA,0.0335,0.018,0.049,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Māui dolphin,mammal,cetacean,New Zealand,67.63285024,ycostmsy,4.826790474058043,64.23381084921294,90.53693723804285,dolphin,-0.07,-0.135,-0.005,0.1035,NA,NA,0.0335,0.018,0.049,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,pcostmey,0.005480994718826752,21.887624766615055,62.146561825363875,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,pctredmey,17.66692658575388,25.459430111575564,32.022763019130196,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,pctredmsy,2.166628495139832,11.808685305237455,19.820546684761307,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,ycostmsy,1.2455173231936891,23.516769821700102,54.07338735342366,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
